sentence#,word,pos,ner
,(,YB,O
,बाणी,NN,O
,),YB,O
,जस,DUM,O
,को,PKO,O
,व्याख्या,NN,O
,गर्न,VBI,O
,खोज्दा,VBO,O
,अवाक्,JJ,O
,भयो,VBF,O
,",",YM,O
,जान्दछौ,VBF,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,जस,DUM,O
,को,PKO,O
,आरती,NN,O
,को,PKO,O
,लागि,POP,O
,तारा,NN,O
,रूपी,POP,O
,रत्न,NN,O
,हरू,HRU,O
,ले,PLE,O
,सुशोभित,JJ,O
,आकाशरूपी,JJ,O
,थाल,NN,O
,मा,POP,O
,चन्द्र-सूर्यरूपी,JJ,O
,बत्ती,NN,O
,बलिरहेछ,VBF,O
,",",YM,O
,हावा,NN,O
,चमर,NN,O
,हम्किरहेछ,VBF,O
,",",YM,O
,फूल,NN,O
,का,PKO,O
,बोट,NN,O
,सुगन्धित,JJ,O
,फूल,NN,O
,हरू,HRU,O
,को,PKO,O
,वृष्टि,NN,O
,गरिरहेछन्,VBF,O
,पंक्षीगण,NN,O
,सबै,JJ,O
,मङ्गल-गाथा,NN,O
,हरू,HRU,O
,को,PKO,O
,कीर्तन,NN,O
,गरिरहेछन्,VBF,O
,",",YM,O
,वज्रघोष,NN,O
,शङ्गध्वनि,NN,O
,गरिरहेछन्,VBF,O
,",",YM,O
,देव,NN,O
,दानव,NN,O
,र,CC,O
,मानव,NN,O
,वन्दना,NN,O
,गरिरहेछन्,VBF,O
,",",YM,O
,प्रसन्न,JJ,O
,मुख-मुद्रा,NN,O
,भए,VBF,O
,का,PKO,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,जो,DUM,O
,रत्नवेदी,NN,O
,मा,POP,O
,रहैर,NN,O
,जीवन,NN,O
,लाई,PLAI,O
,कर्मानुसार,NN,O
,सुख,NN,O
,अथवा,CC,O
,दुःखरूप,NN,O
,फल,NN,O
,दिइरहेछन्,VBF,O
,।,YF,O
sentence: 126,भक्ति,NN,O
,",",YM,O
,श्रद्धा,NN,O
,",",YM,O
,शान्ति,NN,O
,",",YM,O
,करुणा,NN,O
,",",YM,O
,मुक्ति,NN,O
,आदि,RBM,O
,जस,DUM,O
,को,PKO,O
,चरण,NN,O
,सेवा,NN,O
,गरिरहेछन्,VBF,O
,;,YM,O
,वैराग्य,NN,O
,",",YM,O
,अनिर्ममत्व,NN,O
,",",YM,O
,निरहङ्कार,NN,O
,",",YM,O
,ज्ञान,NN,O
,",",YM,O
,विचार,NN,O
,",",YM,O
,योग,NN,O
,धर्माचरण,NN,O
,आदि,RBM,O
,शूर-वीर,NN,O
,आफ्नो,PPR,O
,भुजदण्ड,NN,O
,को,PKO,O
,प्रताप,NNP,O
,ले,PLE,O
,जस,DUM,O
,को,PKO,O
,ढोका,NN,O
,मा,POP,O
,द्वारपाल,NN,O
,को,PKO,O
,कार्य,NN,O
,गरिरहन्छन्,VBF,O
,;,YM,O
,आनन्दस्वरूप,NN,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,यी,DUM,O
,मेघमाला,NN,O
,हरू,HRU,O
,अति,RBM,O
,वेग,NN,O
,ले,PLE,O
,जाँदा-जाँदै,VBO,O
,जस,DUM,O
,को,PKO,O
,प्रेमपूर्ण,JJ,O
,मुख,NN,O
,देख्दै,VBO,O
,मा,POP,O
,आँशु,NN,O
,बगाउन,VBI,O
,थाल्दछन्,VBF,O
,",",YM,O
,यो,DUM,O
,विजुली,NN,O
,जस,DUM,O
,को,PKO,O
,दर्शन,NN,O
,को,PKO,O
,लागि,POP,O
,चञ्चल,NN,O
,भएर,VBO,O
,दौडन,NN,O
,लाग्दछ,VBF,O
,",",YM,O
,यो,DUM,O
,पाषणहृदय,NN,O
,पर्वत,NN,O
,हरू,HRU,O
,ले,PLE,O
,जस,DUM,O
,को,PKO,O
,प्रेमपूर्ण,JJ,O
,मुख,NN,O
,को,PKO,O
,दर्शन,NN,O
,गरेर,VBO,O
,प्रेमाश्रु-जल,NN,O
,मा,POP,O
,(,YB,O
,नदी,NN,O
,को,PKO,O
,प्रवाह,NN,O
,मा,POP,O
,),YB,O
,देश-विदेश,NN,O
,लाई,PLAI,O
,बहाए,VBF,O
,को,PKO,O
,छ,VBF,O
,",",YM,O
,यो,DUM,O
,अग्निकुण्ड,NN,O
,जस,DUM,O
,को,PKO,O
,भाव,NN,O
,ले,PLE,O
,विमोहित,JJ,O
,भएर,VBO,O
,वाष्पाकुल,NN,O
,नेत्र,NN,O
,भए,VBF,O
,को,PKO,O
,छ,VBF,O
,",",YM,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,कुसुमावली,NN,O
,जस,DUM,O
,तिर,POP,O
,ताकेर,VBO,O
,हाँसिरहे,VBF,O
,का,PKO,O
,छन्,VBF,O
,",",YM,O
,रूख,NN,O
,जस,DUM,O
,को,PKO,O
,मुख,NN,O
,देखेर,VBO,O
,रात,NN,O
,को,PKO,O
,ओस,NN,O
,को,PKO,O
,बहाना,NN,O
,ले,PLE,O
,रोई-रोई,NN,O
,व्याकुल,JJ,O
,भए,VBF,O
,को,PKO,O
,छ,VBF,O
,",",YM,O
,विश्वशोभा,NN,B-LOC
,जस,DUM,O
,को,PKO,O
,दर्शन,NN,O
,गर्न,VBI,O
,को,PKO,O
,लागि,POP,O
,सबै,JJ,O
,लाई,PLAI,O
,आह्वान,NN,O
,गरिरहिछन्,VBF,O
,जान्दछौ,VBF,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,जस,DUM,O
,ले,PLE,O
,यो,DUM,O
,भोगविलासी,NN,O
,घोर,JJ,O
,सांसारिक,JJ,O
,पुरुष,NN,O
,हरू,HRU,O
,लाई,PLAI,O
,आफ्नो,PPR,O
,विश्वमोहक,NN,O
,भाव,NN,O
,मा,POP,O
,विमोहित,JJ,O
,गरेर,VBO,O
,सर्वत्यागी,NN,O
,बनाइदिए,VBF,O
,",",YM,O
,जो,DUM,O
,सुके,VBF,O
,को,PKO,O
,पात,NN,O
,खाने,VNE,O
,जर्जर-शरीर,NN,O
,तरुतलवासी,JJ,O
,तपस्वी,NN,O
,हरू,HRU,O
,को,PKO,O
,हृदय,NN,O
,मा,POP,O
,आविर्भूत,NN,O
,(,YB,O
,प्रकट,NN,O
,),YB,O
,भएर,VBO,O
,उन,DUM,O
,का,PKO,O
,दुवै,CD,O
,आँखा,NN,O
,बन्द,JJ,O
,गरिरहेछ,VBF,O
,",",YM,O
,जो,DUM,O
,बाह्यज्ञानशून्य,NN,O
,जटाधारी,JJ,O
,पुरुष,NN,O
,हरू,HRU,O
,को,PKO,O
,हृदयरूपी,JJ,O
,गुफा,NN,O
,मा,POP,O
,प्रकाशित,JJ,O
,भएर,VBO,O
,कहिले,RBO,O
,उस,DUM,O
,लाई,PLAI,O
,हँसाइरहेछ,VBF,O
,",",YM,O
,कहिले,RBO,O
,आँशु,NN,O
,ले,PLE,O
,उस,DUM,O
,को,PKO,O
,वक्षःस्थल,NN,B-LOC
,लाई,PLAI,O
,निथ्रुक्क,RBM,O
,भिजाइरहेछ,VBF,O
,",",YM,O
,कहिले,RBO,O
,उस,DUM,O
,लाई,PLAI,O
,मौनी,NN,O
,बनाएर,VBO,O
,स्थिर,JJ,O
,आसन,NN,O
,मा,POP,O
,बसालिरहेछ,VBF,O
,",",YM,O
,र,CC,O
,कहिले,RBO,O
,ठूलो,JJM,O
,स्वर,NN,O
,ले,PLE,O
,गाना,NN,O
,गाउन,VBI,O
,र,CC,O
,नाच,NN,O
,नचाउन,VBI,O
,लगाइरहेछ,VBF,O
,",",YM,O
,प्रेम,NN,O
,को,PKO,O
,आवास,NN,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,जो,DUM,O
,संसाररूपी,JJ,O
,सागर,NN,O
,को,PKO,O
,तट,NN,O
,मा,POP,O
,खडा,JJ,O
,भएर,VBO,O
,अभय,NN,O
,दिने,VNE,O
,निजी,JJ,O
,चरणरूपी,JJ,O
,डुङ्गा,NN,O
,को,PKO,O
,मूल्य,NN,O
,नलिई,VBO,O
,पतित,JJ,O
,एवं,CC,O
,सन्तापित,JJ,O
,जीव,NN,O
,हरू,HRU,O
,लाई,PLAI,O
,पार,NN,O
,गर्न,VBI,O
,को,PKO,O
,लागि,POP,O
,आफै,PPR,O
,माझी,NNP,O
,बनेर,VBO,O
,प्रेमपूर्वक,NN,O
,पुकारिरहेछन्,VBF,O
,",",YM,O
,जो,DUM,O
,दीन-दुःखी,NN,O
,मानिस,NN,O
,हरू,HRU,O
,को,PKO,O
,भयभीत,JJ,O
,हृदय,NN,O
,को,PKO,O
,रोदन,NN,O
,सुनेर,VBO,O
,आफ्नो,PPR,O
,हात,NN,O
,ले,PLE,O
,उनी,DUM,O
,हरू,HRU,O
,को,PKO,O
,आँशु,NN,O
,लाई,PLAI,O
,पुछिरहेछन्,VBF,O
,",",YM,O
,जो,DUM,O
,व्याकुलित,JJ,O
,मानिस,NN,O
,हरू,HRU,O
,लाई,PLAI,O
,लगातार,RBM,O
,शान्तिरूपी,JJ,O
,अमृतपान,NN,O
,गराइरहेछन्,VBF,O
,",",YM,O
,कोही,DUM,O
,उन,DUM,O
,लाई,PLAI,O
,चिन्न,VBI,O
,सक्तछन्,VBF,O
,",",YM,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,समय-समय,NN,O
,मा,POP,O
,घोर,JJ,O
,अज्ञान,NN,O
,जाल,NN,O
,लाई,PLAI,O
,चुँडालेर,VBO,O
,जस,DUM,O
,को,PKO,O
,तेज,NN,O
,अज्ञान,NN,O
,ले,PLE,O
,मलिन,JJ,O
,मन,NN,O
,पनि,RP,O
,प्रकाशित,JJ,O
,भइरहेछ,VBF,O
,",",YM,O
,जीवनभरै,NN,O
,उन,DUM,O
,लाई,PLAI,O
,बिर्सोस्,NN,O
,किन्तु,CC,O
,उनी,DUM,O
,उस,DUM,O
,को,PKO,O
,परित्याग,NN,O
,गर्दैनन्,VBF,O
,।,YF,O
sentence: 127,जो,DUM,O
,मायारूपी,JJ,O
,निद्रा,NN,O
,नाश,NN,O
,गरेर,VBO,O
,जीवन,NN,O
,लाई,PLAI,O
,उन,DUM,O
,को,PKO,O
,लागि,POP,O
,बारम्बार,RBM,O
,पुकारिरहेछन्,VBF,O
,;,YM,O
,हेर,NN,O
,",",YM,O
,हेर,NN,O
,",",YM,O
,उठेर,VBO,O
,हेर,VBF,O
,",",YM,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,जस,DUM,O
,ले,PLE,O
,आफै,PPR,O
,निर्गुण,NN,O
,भएर,VBO,O
,पनि,RP,O
,तीन,CD,B-MISC
,गुण,NN,O
,हरू,HRU,O
,ले,PLE,O
,जगत्,NN,O
,लाई,PLAI,O
,बाँधेर,VBO,O
,राखे,VBF,O
,का,PKO,O
,छन्,VBF,O
,",",YM,O
,आफै,PPR,O
,रूपरहित,JJ,O
,भएर,VBO,O
,पनि,RP,O
,आश्चर्यरूप,NN,O
,ले,PLE,O
,त्रिभुवन,NNP,B-PER
,लाई,PLAI,O
,विमोहित,JJ,O
,गरेर,VBO,O
,राखे,VBF,O
,को,PKO,O
,छ,VBF,O
,तथा,CC,O
,आफैं,PPR,O
,चैतन्यरूप,NN,O
,भएर,VBO,O
,पनि,RP,O
,संसाररूप,NN,O
,स्वप्न,NN,O
,देख्ने,VNE,O
,जीव,NN,O
,लाई,PLAI,O
,आफ्नो,PPR,O
,मोहिनी,NN,O
,माया,NN,O
,ले,PLE,O
,अचेतन,NN,O
,गरेर,VBO,O
,राखिरहेछ,VBF,O
,",",YM,O
,भोगनिद्रा,NN,O
,को,PKO,O
,परित्याग,NN,O
,त,RP,O
,गर,VBF,O
,",",YM,O
,योगबल,NN,O
,ले,PLE,O
,चेतन,NN,O
,भएर,VBO,O
,त,RP,O
,हेर,NN,O
,",",YM,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,आदिपुरुष,NNP,B-PER
,ब्रह्मा,NNP,I-PER
,ले,PLE,O
,ध्यानयोग,NN,O
,ले,PLE,O
,अपूर्व,JJ,O
,रूप,NN,O
,को,PKO,O
,दर्शन,NN,O
,गरेर,VBO,O
,भने,VBF,O
,-,YM,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,वृत्रासुर,NN,B-PER
,लाई,PLAI,O
,मारे,VBF,O
,पछि,POP,O
,इन्द्र,NNP,B-PER
,",",YM,O
,वायु,NN,B-PER
,",",YM,O
,वरुण,NN,B-PER
,",",YM,O
,अग्नि,NN,B-PER
,र,CC,O
,यम,NN,B-PER
,उन,DUM,O
,को,PKO,O
,परम,JJ,O
,ज्योतिर्मय,NN,O
,रूप,NN,O
,लाई,PLAI,O
,देखेर,VBO,O
,बोले,VBF,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,देवर्षि,NN,B-PER
,",",YM,O
,ब्रह्मर्षि,NN,B-PER
,",",YM,O
,महर्षि,NN,B-PER
,हरू,HRU,O
,ले,PLE,O
,समाधि,NN,O
,मा,POP,O
,जस,DUM,O
,लाई,PLAI,O
,देखे,VBF,O
,",",YM,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,वेदवेदाङ्ग,NN,O
,",",YM,O
,दर्शनशास्त्र,NN,O
,आदि,RBM,O
,जस,DUM,O
,को,PKO,O
,वर्णन,NN,O
,गर्न,VBI,O
,मा,POP,O
,असमर्थ,JJ,O
,भएर,VBO,O
,बोले,VBF,O
,-,YM,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,कवि,NN,B-PER
,हरू,HRU,O
,कल्पनाराज्य,NN,B-LOC
,मा,POP,O
,घुमेर,VBO,O
,अन्त,NN,O
,मा,POP,O
,सोध्दछन्,VBF,O
,-,YM,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,देवता,NN,O
,मानिस,NN,O
,सबै,JJ,O
,जिज्ञासा,NN,O
,गर्दछन्,VBF,O
,-,YM,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,म,PP,O
,पनि,RP,O
,भन्दछु,VBF,O
,-,YM,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,यदि,CS,O
,कसै,DUM,O
,लाई,PLAI,O
,थाहा,NN,O
,छ,VBF,O
,भने,CS,O
,हामी,PP,O
,लाई,PLAI,O
,वताइदिऊन्,NN,O
,-,YM,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,ए,UH,O
,विषयानुरागी,NN,O
,मान्छे,NN,O
,?,YF,O
,बिस्तारै-बिस्तारै,RBM,O
,दिन,NN,O
,बितिरहेछ,VBF,O
,।,YF,O
sentence: 128,वृद्धावस्था,NN,O
,सेतो,JJM,O
,चँवर,NN,O
,(,YB,O
,फुले,VBF,O
,को,PKO,O
,कपाल,NN,O
,जुङ्गा-दारी,NN,O
,आदि,RBM,O
,),YB,O
,",",YM,O
,आधि-व्याधिरूप,NN,O
,झण्डा,NN,O
,फहराएर,VBO,O
,मृत्युराज,NN,O
,को,PKO,O
,आगमन,NN,O
,को,PKO,O
,वृतान्त,NN,O
,को,PKO,O
,घोषणा,NN,O
,गरिरहेछ,VBF,O
,यसैले,RBM,O
,उस,DUM,O
,लाई,PLAI,O
,छिटो,RBM,O
,जान्ने,VNE,O
,कोशिश,NN,O
,गर,VBF,O
,-,YM,O
,उनी,DUM,O
,को,PKO,O
,हुन्,VBF,O
,?,YF,O
,श्रुति,NN,B-PER
,पनि,RP,O
,पुकारिरहेछ,VBF,O
,-,YM,O
,जुन,DUM,O
,देवता,NN,O
,को,PKO,O
,देवता,NN,O
,महादेव,NN,O
,बाट,POP,O
,यो,DUM,O
,जगत्,NN,O
,उत्पन्न,NN,O
,भए,VBF,O
,को,PKO,O
,हो,VBF,O
,",",YM,O
,जस,DUM,O
,ले,PLE,O
,यो,DUM,O
,समस्त,JJ,O
,विश्व,NN,O
,लाई,PLAI,O
,व्याप्त,JJ,O
,गरेर,VBO,O
,राखे,VBF,O
,को,PKO,O
,छ,VBF,O
,र,CC,O
,जस,DUM,O
,मा,POP,O
,यो,DUM,O
,सम्पूर्ण,JJ,O
,प्रपञ्च,NN,O
,लीन,JJ,O
,हुन्छ,VBF,O
,तैपनि,CS,O
,जुन,DUM,O
,देवता,NN,O
,को,PKO,O
,यस,DUM,O
,दृश्य,NN,O
,सित,POP,O
,कुनै,DUM,O
,पनि,RP,O
,संम्बन्ध,NN,O
,रहँदैन,VBF,O
,",",YM,O
,उनै,DUM,O
,देवता,NN,O
,पूजनीय,JJ,O
,छन्,VBF,O
,।,YF,O
sentence: 129,जस,DUM,O
,को,PKO,O
,न,CC,O
,आदि,RBM,O
,छ,VBF,O
,न,CC,O
,अन्त,NN,O
,र,CC,O
,मध्य,JJ,O
,नै,RP,O
,छ,VBF,O
,",",YM,O
,जस,DUM,O
,को,PKO,O
,देश,NN,O
,",",YM,O
,काल,NN,O
,अथवा,CC,O
,वस्तु,NN,O
,बाट,POP,O
,परिच्छेद,NN,O
,हुँदैन,VBF,O
,",",YM,O
,सबै,JJ,O
,पदार्थ,NN,O
,जस,DUM,O
,को,PKO,O
,सम्बन्ध,NN,O
,ले,PLE,O
,सिद्ध,JJ,O
,हुन्छ,VBF,O
,कुनै,DUM,O
,प्रमाण,NN,O
,ले,PLE,O
,जो,DUM,O
,सिद्ध,JJ,O
,हुँदैन,VBF,O
,",",YM,O
,उनै,DUM,O
,स्वयंसिद्ध,JJ,O
,देव,NN,O
,पूजनीय,J,O
,हुन्,VBF,O
,।,YF,O
sentence: 130,जुन,DUM,O
,अलौकिक,JJ,O
,देवता,NN,O
,को,PKO,O
,कुनै,DUM,O
,नाम,NN,O
,छैन,VBF,O
,",",YM,O
,तैपनि,CS,O
,जुन,DUM,O
,नाम,NN,O
,ले,PLE,O
,बोलाऊ,VBF,O
,त्यही,DUM,O
,नाम,NN,O
,बाट,POP,O
,बोल्दछन्,VBF,O
,उन,DUM,O
,को,PKO,O
,कुनै,DUM,O
,धाम,NN,O
,छैन,VBF,O
,",",YM,O
,तापनि,CS,O
,सबै,JJ,O
,धाम,NN,O
,हरू,HRU,O
,मा,POP,O
,विराजमान,NN,O
,छन्,VBF,O
,",",YM,O
,कुनै,DUM,O
,धाम,NN,O
,उनी,DUM,O
,बाट,POP,O
,रहित,JJ,O
,छैन,VBF,O
,",",YM,O
,उनै,DUM,O
,देव,NN,O
,पूजनीय,JJ,O
,छन्,VBF,O
,।,YF,O
sentence: 131,यो,DUM,O
,जगत्,NN,O
,जस,DUM,O
,को,PKO,O
,आँखा,NN,O
,मा,POP,O
,छ,VBF,O
,",",YM,O
,जो,DUM,O
,जगत्,NN,O
,का,PKO,O
,आँखा,NN,O
,हरू,HRU,O
,मा,POP,O
,छन्,VBF,O
,आँखाबिना,NN,O
,नै,RP,O
,जो,DUM,O
,सबै,JJ,O
,लाई,PLAI,O
,देख्दछन्,VBF,O
,",",YM,O
,कानबिना,NN,O
,नै,RP,O
,जो,DUM,O
,सबै,JJ,O
,शब्द,NN,O
,हरू,HRU,O
,लाई,PLAI,O
,सुन्दछन्,VBF,O
,",",YM,O
,गोडा,NN,O
,नहुना,VBI,O
,ले,PLE,O
,पनि,RP,O
,जो,DUM,O
,मनलेभन्दा,RBM,O
,पनि,RP,O
,छिटो,RBM,O
,दौड्दछन्,VBF,O
,",",YM,O
,जस,DUM,O
,लाई,PLAI,O
,कोही,DUM,O
,समात्न,VBI,O
,सक्दैन,VBF,O
,",",YM,O
,न,CC,O
,कोही,DUM,O
,छाड्न,VBI,O
,सक्तछ,VBF,O
,उनै,DUM,O
,देव,NN,O
,पूजनीय,JJ,O
,छन्,VBF,O
,।,YF,O
sentence: 132,जुन,DUM,O
,देव,NN,O
,को,PKO,O
,कुनै,DUM,O
,शरीर,NN,O
,छैन,VBF,O
,",",YM,O
,सबै,JJ,O
,को,PKO,O
,शरीर,NN,O
,जस,DUM,O
,को,PKO,O
,शरीर,NN,O
,हो,VBF,O
,",",YM,O
,सबै,JJ,O
,शरीर,NN,O
,हरू,HRU,O
,जुन,DUM,O
,आत्मा,NN,O
,हो,VBF,O
,",",YM,O
,सर्व,JJ,O
,शरीर,NN,O
,हरू,HRU,O
,लाई,PLAI,O
,जो,DUM,O
,नियम,NN,O
,मा,POP,O
,राख्दछन्,VBF,O
,र,CC,O
,सबै,JJ,O
,शरीर,NN,O
,हरू,HRU,O
,मा,POP,O
,जो,DUM,O
,अभिमान,NN,O
,गर्दछन्,VBF,O
,",",YM,O
,फेरि,RBM,O
,पनि,RP,O
,जस,DUM,O
,मा,POP,O
,नियम्य-नियामकभाव,NN,O
,छैन,VBF,O
,",",YM,O
,व्याप्यव्यापकभाव,NN,O
,पनि,RP,O
,जस,DUM,O
,मा,POP,O
,छैन,VBF,O
,र,CC,O
,जीव-ईश्वर,NN,O
,भाव,NN,O
,पनि,RP,O
,जस,DUM,O
,मा,POP,O
,छैन,VBF,O
,",",YM,O
,जो,DUM,O
,सूर्य,NN,O
,भएर,VBO,O
,सारा,JJ,O
,संसार,NN,O
,लाई,PLAI,O
,तताउँछन्,VBF,O
,र,CC,O
,प्रकाशित,JJ,O
,गर्दछन्,VBF,O
,",",YM,O
,चन्द्र,NNP,B-PER
,बनेर,VBO,O
,देव,NN,O
,",",YM,O
,मनुष्य,NN,O
,",",YM,O
,औषधी,NN,O
,आदि,RBM,O
,को,PKO,O
,पोषण,NN,O
,गर्दछन्,VBF,O
,",",YM,O
,वैश्वानर,NN,O
,बनेर,VBO,O
,सबै,JJ,O
,को,PKO,O
,पेट,NN,O
,मा,POP,O
,रही,VBO,O
,खाए-पिए,VBF,O
,का,PKO,O
,अन्न-जल,NN,O
,पचाउँदछन्,VBF,O
,",",YM,O
,जो,DUM,O
,आनन्दस्वरूप,NN,O
,हुन्,VBF,O
,",",YM,O
,जस,DUM,O
,को,PKO,O
,आनन्द,NN,O
,लेश,NN,O
,को,PKO,O
,अंश,NN,O
,ले,PLE,O
,ब्रह्मा,NNP,O
,देखि,POP,O
,लिएर,VBO,O
,स्तम्बपर्यन्त,NN,O
,आनन्दित,JJ,O
,भइरहेछन्,VBF,O
,",",YM,O
,जस,DUM,O
,लाई,PLAI,O
,जानेर,VBO,O
,फेरि,RBM,O
,केही,CD,O
,जान्न,VBI,O
,बांकी,JJ,O
,रहँदैन,VBF,O
,",",YM,O
,अर्थात्,CC,O
,सबै,JJ,O
,कुरा,NN,O
,जानिसके,NN,O
,को,PKO,O
,हुन्छ,VBF,O
,",",YM,O
,जस,DUM,O
,लाई,PLAI,O
,पाएर,VBO,O
,सबै,JJ,O
,कुरा,NN,O
,पाइसके,VBF,O
,को,PKO,O
,हुन्छ,VBF,O
,",",YM,O
,केही,CD,O
,पाउन,VBI,O
,बांकी,JJ,O
,रहँदैन,VBF,O
,",",YM,O
,सबै,JJ,O
,कुरा,NN,O
,जस,DUM,O
,मा,POP,O
,छ,VBF,O
,जो,DUM,O
,सबै,JJ,O
,को,PKO,O
,उपादान,NN,O
,कारण,NN,O
,हो,VBF,O
,",",YM,O
,सबै,JJ,O
,को,PKO,O
,कर्ता,NN,O
,हो,VBF,O
,",",YM,O
,तैपनि,CS,O
,अशेष,NN,O
,विशेष,JJ,O
,रहन्छ,VBF,O
,",",YM,O
,एक,CD,O
,हो,VBF,O
,",",YM,O
,अद्वितीय,JJ,O
,हो,VBF,O
,",",YM,O
,सबै,JJ,O
,उपाधि,NN,O
,हरू,HRU,O
,बाट,POP,O
,बर्जित,JJ,O
,हो,VBF,O
,",",YM,O
,सबै,JJ,O
,को,PKO,O
,आफ्नो,PPR,O
,आफै,PPR,O
,हो,VBF,O
,",",YM,O
,न,CC,O
,सँगै,POP,O
,छ,VBF,O
,",",YM,O
,न,CC,O
,टाढा,RBM,O
,छ,VBF,O
,",",YM,O
,स्मरणमात्रमै,NN,O
,उपस्थित,JJ,O
,हुन्छ,VBF,O
,",",YM,O
,हो,VBF,O
,",",YM,O
,उही,DUM,O
,देव,NN,O
,पूजनीय,JJ,O
,हो,VBF,O
,।,YF,O
sentence: 133,म,PP,O
,",",YM,O
,तँ,PP,O
,र,CC,O
,ऊ,DUM,O
,भन्ने,RP,O
,नाम,NN,O
,जस,DUM,O
,मा,POP,O
,छैन,VBF,O
,;,YM,O
,देश,NN,O
,काल,NN,O
,र,CC,O
,वस्तु,NN,O
,को,PKO,O
,जस,DUM,O
,मा,POP,O
,काम,NN,O
,छैन,VBF,O
,;,YM,O
,ज्ञाता,NN,O
,",",YM,O
,ज्ञान,NN,O
,र,CC,O
,ज्ञेय,NN,O
,देखि,POP,O
,जो,DUM,O
,टाढा,RBM,O
,छ,VBF,O
,;,YM,O
,सब,JJ,O
,ज्योति,NN,O
,हरू,HRU,O
,को,PKO,O
,ज्योति,NN,O
,हो,VBF,O
,;,YM,O
,सत्त्व,NN,O
,",",YM,O
,रज,NN,O
,र,CC,O
,तम,NN,O
,को,PKO,O
,जस,DUM,O
,मा,POP,O
,लेश,NN,O
,छैन,VBF,O
,",",YM,O
,जस,DUM,O
,मा,POP,O
,न,RP,O
,अशेष,NN,O
,छ,VBF,O
,",",YM,O
,न,CC,O
,विशेष,JJ,O
,छ,VBF,O
,;,YM,O
,तैपनि,CS,O
,जस,DUM,O
,को,PKO,O
,नाम,NN,O
,निर्विशेष,NN,O
,छ,VBF,O
,",",YM,O
,कुनै,DUM,O
,पद,NN,O
,वाक्य,NN,O
,जस,DUM,O
,को,PKO,O
,नाम,NN,O
,बताउन,VBI,O
,सक्तैन,VBF,O
,",",YM,O
,तैपनि,CS,O
,एक,CD,O
,नकार,NN,O
,अक्षर,NN,O
,को,PKO,O
,यस्तो,DM,O
,माहात्म्य,NN,O
,छ,VBF,O
,-,YM,O
,त्यो,DUM,O
,सत्,NN,O
,र,CC,O
,असत्,NN,O
,ले,PLE,O
,रहित,JJ,O
,लाई,PLAI,O
,पनि,RP,O
,सबै,JJ,O
,प्रपञ्च,NN,O
,को,PKO,O
,निषेध,NN,O
,गरेर,VBO,O
,शम,NN,O
,",",YM,O
,दम,NN,O
,",",YM,O
,सन्तोष,NN,O
,",",YM,O
,क्षमा,NN,O
,",",YM,O
,विवेक,NN,O
,",",YM,O
,वैराग्य,NN,O
,आदि,RBM,O
,शुभ,JJ,O
,गुण,NN,O
,हरू,HRU,O
,ले,PLE,O
,युक्त,JJ,O
,अधिकारी,NN,O
,को,PKO,O
,मन,NN,O
,मा,POP,O
,प्रकाश,NN,O
,गरिदिन्छ,VBF,O
,।,YF,O
sentence: 134,किनकि,CS,O
,यो,DUM,O
,सबै,JJ,O
,को,PKO,O
,आत्मा,NN,O
,अर्थात्,CC,O
,स्वरूप,NN,O
,हो,VBF,O
,",",YM,O
,यसैले,RBM,O
,स्थूल,JJ,O
,",",YM,O
,सूक्ष्म,JJ,O
,र,CC,O
,बीजरूप,NN,O
,प्रपञ्च,NN,O
,को,PKO,O
,निषेध,NN,O
,हुना,VBI,O
,ले,PLE,O
,आफै,PPR,O
,नै,RP,O
,शेष,NN,O
,रहेर,VBO,O
,पूर्ण,JJ,O
,आत्मस्वरूप,NN,O
,ले,PLE,O
,प्रकाश,NN,O
,हुन्छ,VBF,O
,।,YF,O
sentence: 135,यस,DUM,O
,प्रकार,NN,O
,नकार,NN,O
,अक्षर,NN,O
,को,PKO,O
,सहायता,NN,O
,लिएर,VBO,O
,नै,RP,O
